SampleNumber,CTime,Duration,PowerData
1,0.02706489,27.06,0
2,0.1175864,90.52,23901.88
3,0.2078476,90.26,27501.3
4,0.2981307,90.28,25859.29
5,0.3888892,90.76,22070.78
6,0.4797189,90.83,21368.09
7,0.5719927,92.27,21687.19
8,0.6622385,90.25,23632.01
9,0.7522849,90.05,23693.17
10,0.8422915,90.01,24663.17
11,0.9323584,90.07,25540.53
12,1.02239,90.03,23274.66
13,1.113521,91.13,22573.34
14,1.204271,90.75,27176.9
15,1.294808,90.54,27917.78
16,1.384844,90.04,24182.68
17,1.475702,90.86,22882.18
18,1.566532,90.83,23603.65
19,1.656568,90.04,22333.37
20,1.747362,90.79,22175.97
21,1.837375,90.01,22986.45
22,1.92809,90.71,22218.68
23,2.018656,90.57,22025.47
24,2.110373,91.72,21640.35
25,2.20038,90.01,22537.85
26,2.291958,91.58,22980.33
27,2.382297,90.34,21625.4
28,2.472332,90.03,21598.79
29,2.562338,90.01,23941.17
30,2.652925,90.59,21761.51
31,2.743357,90.43,24495.81
32,2.833448,90.09,22599.43
33,2.923456,90.01,21496.09
34,3.013993,90.54,22374.94
35,3.103995,90,22544.47
36,3.194544,90.55,21970.23
37,3.288327,93.78,22552.57
38,3.378661,90.33,20819.79
39,3.469364,90.7,20171.35
40,3.560137,90.77,21143.45
41,3.650205,90.07,20925.29
42,3.740722,90.52,20793.03
43,3.831003,90.28,21674.53
44,3.922289,91.29,21113.62
45,4.012298,90.01,21141.01
46,4.10237,90.07,20975.86
47,4.19237,90,20600.79
48,4.283068,90.7,21279.49
49,4.37361,90.54,23198.79
50,4.463621,90.01,20089.64
51,4.553625,90,22193.23
52,4.643895,90.27,20015.79
53,4.734186,90.29,19930.14
54,4.8242,90.01,24787.29
55,4.91421,90.01,20524.97
56,5.004996,90.79,20217.33
57,5.097726,92.73,21335.73
58,5.188482,90.76,20839.85
59,5.278926,90.44,20299.19
60,5.368933,90.01,22449.88
61,5.459751,90.82,20297.64
62,5.55051,90.76,20686.53
63,5.641238,90.73,22316.47
64,5.731256,90.02,20618.23
65,5.821276,90.02,20180.49
66,5.911552,90.28,20392.95
67,6.002266,90.71,21425.77
68,6.09228,90.01,21630.05
69,6.182294,90.01,20770.44
70,6.272357,90.06,20337.13
71,6.362385,90.03,20932.58
72,6.452723,90.34,22847.2
73,6.54273,90.01,19823.87
74,6.633303,90.57,21817.57
75,6.723997,90.69,19825.87
76,6.814752,90.75,20866.67
77,6.904762,90.01,20133.12
78,6.995306,90.54,20760.79
79,7.089055,93.75,19914.37
80,7.179814,90.76,21016.64
81,7.27157,91.76,20186.68
82,7.362247,90.68,19875.39
83,7.452269,90.02,22208.67
84,7.542278,90.01,20020.8
85,7.632321,90.04,22603.38
86,7.722361,90.04,20501.62
87,7.812446,90.08,20567.13
88,7.90247,90.02,20313.75
89,7.992952,90.48,21728.67
90,8.083719,90.77,21137.5
91,8.174413,90.69,21077.78
92,8.265213,90.8,19923.7
93,8.355958,90.74,21302.68
94,8.446065,90.11,19302.76
95,8.538445,92.38,23068.15
96,8.63022,91.77,22315.27
97,8.720983,90.76,20596.26
98,8.811731,90.75,19687.05
99,8.90175,90.02,19004.44
100,8.991859,90.11,19546.97
101,9.08231,90.45,19684.77
102,9.172347,90.04,21923.57
103,9.262349,90,18557.09
104,9.352374,90.02,18993.64
105,9.442612,90.24,19007.66
106,9.533387,90.77,19290.54
107,9.624154,90.77,19997.47
108,9.714154,90,19854.72
109,9.804697,90.54,20165.89
110,9.89847,93.77,20020.41
111,9.989202,90.73,19676.4
112,10.08096,91.76,20959.72
113,10.1713,90.34,20472.68
114,10.2613,90,19609.07
115,10.35185,90.55,20086.29
116,10.44221,90.36,20201.77
117,10.53232,90.1,18729.8
118,10.62232,90,20907.75
119,10.71235,90.03,19299.23
120,10.80235,90.01,19179.54
121,10.89297,90.62,19037.88
122,10.98382,90.85,19265.83
123,11.07383,90.01,19474.57
124,11.16442,90.59,20397.03
125,11.25521,90.79,18676.64
126,11.346,90.79,19889.25
127,11.43678,90.79,19543.77
128,11.52678,90,18587
129,11.61737,90.58,21189.4
130,11.70802,90.66,20384.06
131,11.79803,90.01,19396.19
132,11.88804,90,20031.67
133,11.97991,91.87,19819.76
134,12.07068,90.76,18825.51
135,12.161,90.32,18440.17
136,12.25178,90.78,18420.05
137,12.3423,90.52,20050.07
138,12.43233,90.03,19049.5
139,12.52236,90.03,20631.91
140,12.61238,90.02,21182.19
141,12.70253,90.15,20817.22
142,12.79259,90.06,20390.06
143,12.88307,90.49,19581.37
144,12.97383,90.75,19485.8
145,13.06456,90.73,21080.82
146,13.15532,90.76,19941.29
147,13.24532,90,18648.41
148,13.33533,90.01,19997.39
149,13.42612,90.79,22538.22
150,13.5169,90.78,23665.81
151,13.60719,90.29,21737.06
152,13.69722,90.03,20327.76
153,13.78732,90.1,21466.94
154,13.87764,90.32,21413.88
155,13.96771,90.08,22458.36
156,14.05772,90.01,19913.74
157,14.14794,90.22,24881.75
158,14.23796,90.02,29100.54
159,14.32873,90.76,20843.39
160,14.41873,90,20331.15
161,14.50873,90,20133.12
162,14.59898,90.24,20217.91
163,14.68979,90.82,21313.45
164,14.78052,90.72,19785.67
165,14.87082,90.31,19933.04
166,14.96159,90.77,19235.09
167,15.05171,90.12,20652.35
168,15.14172,90.01,20906.82
169,15.23174,90.02,20032.99
170,15.32176,90.01,19245.5
171,15.41189,90.14,19884.98
172,15.50234,90.44,20889.26
173,15.59235,90.02,19426.8
174,15.68236,90.01,19456.7
175,15.77242,90.05,21325.17
176,15.86258,90.17,19783.42
177,15.9526,90.02,19856.21
178,16.04262,90.02,20720.61
179,16.13312,90.5,18930.19
180,16.22388,90.77,19975.36
181,16.31462,90.74,19685.15
182,16.40463,90.01,20186.99
183,16.49466,90.03,19811.84
184,16.58596,91.31,19217.21
185,16.67675,90.78,19148.24
186,16.76745,90.7,20600.49
187,16.85818,90.73,20112.9
188,16.94818,90.01,20399.24
189,17.03832,90.13,19902.41
190,17.1291,90.79,19819.41
191,17.2191,90,19670.1
192,17.30911,90.01,20983.36
193,17.39944,90.33,19804.52
194,17.49092,91.49,19376.77
195,17.58099,90.06,20746.47
196,17.67147,90.48,18877.04
197,17.76147,90,19119.05
198,17.85232,90.85,19387.72
199,17.94235,90.03,20740.82
200,18.03239,90.04,20125.21
201,18.1224,90.01,19222.45
202,18.21241,90.01,19874.33
203,18.30241,90,20095.34
204,18.39246,90.05,19280.12
205,18.48254,90.08,19199.69
206,18.57256,90.03,20176.74
207,18.664,91.44,19004.13
208,18.75576,91.76,19962.39
209,18.84701,91.26,20698.59
210,18.93721,90.2,19493.65
211,19.02723,90.02,19327.89
212,19.11786,90.63,19956.69
213,19.20862,90.76,21005.62
214,19.29862,90.01,20467.82
215,19.38869,90.06,20310.21
216,19.47901,90.33,19810.69
217,19.56936,90.35,20031.96
218,19.6601,90.74,19227.74
219,19.7503,90.2,19659.92
220,19.84032,90.02,21417.79
221,19.93094,90.62,19055.64
222,20.02094,90,19281.2
223,20.11148,90.54,20089.96
224,20.20232,90.84,19935.49
225,20.29233,90.01,21068.88
226,20.38241,90.08,20932.07
227,20.47245,90.04,19065.71
228,20.56394,91.49,19689.78
229,20.65411,90.17,20201
230,20.74413,90.02,20074.21
231,20.83462,90.49,20569.66
232,20.92464,90.02,19255.34
233,21.01467,90.02,19536.03
234,21.10545,90.79,20125.33
235,21.1958,90.35,22471.89
236,21.28599,90.19,22031.52
237,21.37672,90.73,20149.34
238,21.46747,90.76,18794.88
239,21.55748,90,20076.35
240,21.64804,90.56,20881.97
241,21.73833,90.3,21257.17
242,21.82849,90.15,20929.35
243,21.9193,90.82,22318.8
244,22.01003,90.72,18675.88
245,22.1004,90.37,19087.34
246,22.1904,90,19814.43
247,22.28042,90.01,19542.11
248,22.3705,90.09,22411.64
249,22.46083,90.33,21445.25
250,22.55115,90.32,22136.72
251,22.64145,90.3,21059.37
252,22.73145,90,21261.66
253,22.82201,90.56,20005.87
254,22.91234,90.33,20536.32
255,23.00236,90.02,18996.29
256,23.09238,90.02,18830.04
257,23.18243,90.05,19407.45
258,23.27244,90.02,20252.07
259,23.36244,90,20594.69
260,23.45255,90.11,21226.72
261,23.54256,90.02,18468.87
262,23.63385,91.29,20645.95
263,23.72462,90.77,18686.38
264,23.81737,92.75,18723.14
265,23.90749,90.12,20367.06
266,23.99751,90.02,19732.44
267,24.08754,90.03,18305.06
268,24.17861,91.07,19865.17
269,24.26868,90.07,19532.55
270,24.3587,90.02,20589.09
271,24.44871,90,21387.04
272,24.53874,90.04,20342.39
273,24.62874,90,23387.12
274,24.7188,90.05,21704.99
275,24.80928,90.49,21852.58
276,24.89954,90.26,22635.6
277,24.99081,91.27,22536.04
278,25.08155,90.74,21616.91
279,25.17231,90.76,21214.34
280,25.26232,90.01,23529.27
281,25.35236,90.04,22295.91
282,25.44238,90.01,21764.4
283,25.53241,90.04,23473.99
284,25.62246,90.05,22051.63
285,25.71247,90.01,21379.63
286,25.80377,91.3,21769.69
287,25.89452,90.75,23465.67
288,25.98453,90.01,22851.57
289,26.07453,90.01,21512.21
290,26.1648,90.26,21237.01
291,26.25557,90.77,21616.73
292,26.3463,90.73,21379.93
293,26.43703,90.73,14584.93
294,26.52879,91.76,14595.25
295,26.61879,90,13937.31
296,26.70886,90.06,14134.19
297,26.79912,90.27,14484.87
298,26.88988,90.76,17252.25
299,26.97991,90.03,13948.44
300,27.0704,90.49,14120.39
301,27.16118,90.78,14036.91
302,27.25194,90.77,13615.63
303,27.34236,90.42,14156.23
304,27.43239,90.02,14122.13
305,27.52239,90,14141.78
306,27.61239,90,14141.21
307,27.70242,90.02,13491.82
308,27.79242,90,13678.02
309,27.88246,90.04,14320.19
310,27.97302,90.56,13909.57
311,28.0648,91.79,14482.46
312,28.15581,91,13561.84
313,28.24583,90.02,13041.76
314,28.33587,90.05,13662.8
315,28.42663,90.76,13935.94
316,28.51736,90.72,13959.48
317,28.60809,90.73,14275.7
318,28.69809,90,14435.25
319,28.78864,90.54,13640.83
320,28.87942,90.78,13743.27
321,28.97035,90.93,13626.04
322,29.06042,90.06,13812.17
323,29.15044,90.02,13565.87
324,29.24044,90,13449.21
325,29.33045,90.01,13750.51
326,29.42076,90.31,17707.26
327,29.51076,90,15926.84
328,29.60149,90.73,15100.09
329,29.69187,90.38,15007.01
330,29.78226,90.39,14911.32
331,29.87227,90.02,13580.44
332,29.96235,90.08,14037.1
333,30.05237,90.02,15140.18
334,30.1424,90.03,15963.71
335,30.2324,90,15179.31
336,30.3224,90,16682.66
337,30.41247,90.07,15570.51
338,30.50251,90.04,15752.54
339,30.59373,91.22,17883.61
340,30.68435,90.62,16553.58
341,30.77514,90.79,15187.32
342,30.86589,90.75,15478.16
343,30.95629,90.4,15302.9
344,31.0463,90,14898.87
345,31.13682,90.52,15924.02
346,31.22708,90.26,16027.96
347,31.31747,90.4,15208.81
348,31.40798,90.51,14979.96
349,31.49984,91.86,13828.83
350,31.59016,90.33,14991.53
351,31.68045,90.28,13517.01
352,31.77045,90.01,14055.19
353,31.86093,90.48,14455.15
354,31.95235,91.41,14092.82
355,32.04235,90,14221.46
356,32.13242,90.07,14726.79
357,32.22248,90.07,14272.87
358,32.31279,90.3,16827.08
359,32.40284,90.05,15166.94
360,32.49286,90.02,15938.76
361,32.58458,91.72,14428.16
362,32.67511,90.53,13998.44
363,32.76513,90.02,14308.93
364,32.85582,90.69,14744.94
365,32.9486,92.79,15149.36
366,33.03863,90.03,14212.23
367,33.12898,90.35,20517.32
368,33.21988,90.9,13954.14
369,33.31166,91.78,14323.75
370,33.40236,90.69,13825.79
371,33.49241,90.06,15012.49
372,33.58245,90.04,14499.88
373,33.67248,90.02,14494.97
374,33.7639,91.42,14558.19
375,33.85469,90.79,13773.03
376,33.9448,90.11,14131.37
377,34.03556,90.76,14321.24
378,34.12634,90.78,16109.83
379,34.21711,90.76,15209.08
380,34.30727,90.17,13615.35
381,34.39764,90.37,14698.84
382,34.48838,90.73,13792.6
383,34.57913,90.76,14824.28
384,34.66956,90.43,14087.15
385,34.75965,90.09,14180.83
386,34.85143,91.78,14326.76
387,34.94216,90.73,14115.39
388,35.03236,90.2,14137.17
389,35.12238,90.02,13912.85
390,35.21239,90,14639.52
391,35.30242,90.03,13964.38
392,35.39246,90.04,13608.76
393,35.48246,90,13998.23
394,35.57249,90.03,13962.51
395,35.66249,90.01,14119.95
396,35.75262,90.13,14025.47
397,35.84435,91.73,13981.92
398,35.93511,90.75,13561.16
399,36.02512,90.01,14405.13
400,36.11568,90.56,13715.31
401,36.20744,91.76,13847.6
402,36.29818,90.73,14611.19
403,36.38894,90.76,14105.69
404,36.47975,90.81,13449.86
405,36.56989,90.14,14658.08
406,36.6603,90.41,13352.89
407,36.75057,90.26,15333.09
408,36.84088,90.31,13854.27
409,36.93089,90.01,13454.9
410,37.0215,90.62,13780.12
411,37.11242,90.92,14284.15
412,37.20243,90,13253.06
413,37.29243,90,13681.82
414,37.38247,90.04,13600.57
415,37.47247,90,13621.86
416,37.56247,90,14539.45
417,37.65276,90.29,14209.61
418,37.74358,90.82,13826.73
419,37.83431,90.73,13566.63
420,37.92506,90.76,14391.97
421,38.01585,90.78,14146.65
422,38.10757,91.73,14127.26
423,38.19759,90.02,13148.8
424,38.28916,91.57,14570.68
425,38.37981,90.66,13628.59
426,38.47017,90.35,13796.05
427,38.56046,90.3,14275.42
428,38.65047,90.01,14002.3
429,38.74106,90.59,13354.31
430,38.83178,90.72,14440.02
431,38.92178,90,13633.83
432,39.01231,90.52,13958.72
433,39.10244,90.13,14548.1
434,39.19247,90.04,13944.49
435,39.2825,90.03,13911.72
436,39.37337,90.87,14359.51
437,39.46337,90.01,13308.86
438,39.55393,90.56,13771.46
439,39.64462,90.69,15147.4
440,39.73545,90.83,14822.57
441,39.82604,90.59,15942.77
442,39.9165,90.46,14637.29
443,40.00673,90.23,15778.76
444,40.09699,90.26,20041.29
445,40.18752,90.53,20120.76
446,40.27752,90,20103.39
447,40.36829,90.77,24243.49
448,40.45864,90.35,20065.35
449,40.5488,90.16,20376.3
450,40.6389,90.09,22692.78
451,40.72891,90.02,27892.26
452,40.81906,90.15,25934.14
453,40.90981,90.75,21676.51
454,41.00106,91.24,22623.63
455,41.09105,90,21530.56
456,41.18106,90.01,21371.13
457,41.27106,90,30274.22
458,41.36137,90.3,26045.19
459,41.45137,90,20246.03
460,41.54189,90.52,21170.12
461,41.63227,90.39,21314.41
462,41.72239,90.11,21953.24
463,41.81239,90.01,21993.51
464,41.90242,90.02,13317.75
465,41.99242,90,11076.84
466,42.08245,90.03,11228.18
467,42.17247,90.03,10105.86
468,42.26248,90,9853.02
469,42.35252,90.04,11000.41
470,42.44252,90.01,10372.67
471,42.53253,90,10181.01
472,42.62304,90.51,11129.22
473,42.71585,92.82,9731.79
474,42.80812,92.27,10832.88
475,42.89885,90.72,10702.13
476,42.98963,90.78,11107.25
477,43.08039,90.76,9727.68
478,43.17212,91.73,9932.41
479,43.26239,90.28,9827.82
480,43.35245,90.06,9630.8
481,43.44246,90.01,10122.11
482,43.53249,90.03,9834.6
483,43.62291,90.42,11347.88
484,43.71292,90.01,11240.13
485,43.80346,90.54,10901.47
486,43.89423,90.76,9786.9
487,43.98597,91.74,15475.87
488,44.07601,90.04,10090.07
489,44.16606,90.04,10099.11
490,44.25877,92.71,9695.49
491,44.34956,90.79,9748.59
492,44.44028,90.72,10224.05
493,44.53103,90.75,10658.3
494,44.6218,90.77,9943.77
495,44.71193,90.13,9985.47
496,44.80219,90.26,10397.93
497,44.89243,90.24,9674.16
498,44.98243,90,11425.5
499,45.07245,90.02,11107.41
500,45.16249,90.04,13343.63
501,45.25294,90.45,10141.72
502,45.34295,90.01,10132.84
503,45.4331,90.15,10144.94
504,45.52339,90.29,11181.15
505,45.61372,90.32,10747.46
506,45.70444,90.72,9965.91
507,45.79518,90.74,10179.23
508,45.88519,90.02,9860.88
509,45.97572,90.53,10291.26
510,46.06647,90.76,12509.33
511,46.15826,91.79,10044.93
512,46.24833,90.07,10191.8
513,46.33836,90.02,10108.86
514,46.42854,90.19,9724.5
515,46.51931,90.77,10292.43
516,46.61003,90.72,10758.14
517,46.70079,90.75,10934.21
518,46.79158,90.79,9738.03
519,46.88243,90.86,9608.27
520,46.97243,90,10137.77
521,47.06247,90.04,11041.7
522,47.15248,90.01,10368.4
523,47.24249,90,10354.44
524,47.3325,90.02,9660.18
525,47.42253,90.03,9720.7
526,47.51291,90.37,9795.39
527,47.6037,90.79,10032.4
528,47.69401,90.31,10377.61
529,47.78424,90.23,9782.77
530,47.87506,90.82,10068.84
531,47.96531,90.25,9981.14
532,48.05762,92.32,10924.09
533,48.14838,90.76,9508.44
534,48.23914,90.75,10781.37
535,48.32993,90.78,9924.06
536,48.42062,90.7,9874.42
537,48.51062,90,10309.43
538,48.60103,90.41,12287.67
539,48.6919,90.87,10468.34
540,48.78247,90.57,10067.15
541,48.87249,90.01,10210.92
542,48.96249,90,9543.86
543,49.0525,90.01,10336.99
544,49.14251,90.01,10321.77
545,49.23254,90.03,9926.16
546,49.32254,90,9574.7
547,49.41313,90.59,11537.68
548,49.50389,90.76,9827.44
549,49.59561,91.72,11750.04
550,49.68736,91.75,10988.41
551,49.77816,90.79,10502.29
552,49.8682,90.05,10926.27
553,49.95867,90.47,9701.46
554,50.05046,91.78,10765.68
555,50.14118,90.73,10482.48
